model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,food,1,long,10s,193.65
hunyuanvideo_1_5_distilled,food,1,long,15s,382.95
hunyuanvideo_1_5_distilled,food,2,short,5s,73.05
hunyuanvideo_1_5_distilled,food,2,short,10s,192.49
hunyuanvideo_1_5_distilled,food,2,short,15s,388.16
hunyuanvideo_1_5_distilled,food,2,medium,5s,57.94
hunyuanvideo_1_5_distilled,food,2,medium,10s,191.71
hunyuanvideo_1_5_distilled,food,2,medium,15s,384.17
hunyuanvideo_1_5_distilled,food,2,long,5s,70.78
hunyuanvideo_1_5_distilled,food,2,long,10s,188.72
hunyuanvideo_1_5_distilled,food,2,long,15s,386.73
hunyuanvideo_1_5_distilled,food,3,short,5s,65.92
hunyuanvideo_1_5_distilled,food,3,short,10s,194.89
hunyuanvideo_1_5_distilled,food,3,short,15s,385.66
hunyuanvideo_1_5_distilled,food,3,medium,5s,63.65
hunyuanvideo_1_5_distilled,food,3,medium,10s,190.94
hunyuanvideo_1_5_distilled,food,3,medium,15s,378.15
hunyuanvideo_1_5_distilled,food,3,long,5s,64.25
hunyuanvideo_1_5_distilled,food,3,long,10s,191.58
hunyuanvideo_1_5_distilled,food,3,long,15s,390.67
hunyuanvideo_1_5_distilled,food,4,short,5s,60.86
hunyuanvideo_1_5_distilled,food,4,short,10s,192.56
hunyuanvideo_1_5_distilled,food,4,short,15s,376.93
hunyuanvideo_1_5_distilled,food,4,medium,5s,61.77
hunyuanvideo_1_5_distilled,food,4,medium,10s,192.45
hunyuanvideo_1_5_distilled,food,4,medium,15s,386.09
hunyuanvideo_1_5_distilled,food,4,long,5s,69.53
hunyuanvideo_1_5_distilled,food,4,long,10s,191.86
hunyuanvideo_1_5_distilled,food,4,long,15s,378.66
hunyuanvideo_1_5_distilled,food,5,short,5s,65.36
hunyuanvideo_1_5_distilled,food,5,short,10s,192.94
hunyuanvideo_1_5_distilled,food,5,short,15s,384.82
hunyuanvideo_1_5_distilled,food,5,medium,5s,60.48
hunyuanvideo_1_5_distilled,food,5,medium,10s,194.12
hunyuanvideo_1_5_distilled,food,5,medium,15s,383.27
hunyuanvideo_1_5_distilled,food,5,long,5s,66.38
hunyuanvideo_1_5_distilled,food,5,long,10s,194.39
hunyuanvideo_1_5_distilled,food,5,long,15s,385.27
hunyuanvideo_1_5_distilled,human,1,short,5s,58.87
hunyuanvideo_1_5_distilled,human,1,short,10s,172.19
hunyuanvideo_1_5_distilled,human,1,short,15s,340.66
hunyuanvideo_1_5_distilled,human,1,medium,5s,58.84
hunyuanvideo_1_5_distilled,human,1,medium,10s,172.16
hunyuanvideo_1_5_distilled,human,1,medium,15s,340.83
hunyuanvideo_1_5_distilled,human,1,long,5s,58.92
hunyuanvideo_1_5_distilled,human,1,long,10s,172.19
hunyuanvideo_1_5_distilled,human,1,long,15s,341.04
hunyuanvideo_1_5_distilled,human,2,short,5s,58.77
hunyuanvideo_1_5_distilled,human,2,short,10s,172.15
hunyuanvideo_1_5_distilled,human,2,short,15s,340.9
hunyuanvideo_1_5_distilled,human,2,medium,5s,58.81
hunyuanvideo_1_5_distilled,human,2,medium,10s,172.08
hunyuanvideo_1_5_distilled,human,2,medium,15s,341.11
hunyuanvideo_1_5_distilled,human,2,long,5s,58.88
hunyuanvideo_1_5_distilled,human,2,long,10s,172.2
hunyuanvideo_1_5_distilled,human,2,long,15s,341.09
hunyuanvideo_1_5_distilled,human,3,short,5s,58.84
hunyuanvideo_1_5_distilled,human,3,short,10s,172.19
hunyuanvideo_1_5_distilled,human,3,short,15s,340.72
hunyuanvideo_1_5_distilled,human,3,medium,5s,58.86
hunyuanvideo_1_5_distilled,human,3,medium,10s,172.21
hunyuanvideo_1_5_distilled,human,3,medium,15s,340.99
hunyuanvideo_1_5_distilled,human,3,long,5s,58.91
hunyuanvideo_1_5_distilled,human,3,long,10s,172.19
hunyuanvideo_1_5_distilled,human,3,long,15s,340.96
hunyuanvideo_1_5_distilled,human,4,short,5s,58.73
hunyuanvideo_1_5_distilled,human,4,short,10s,171.91
hunyuanvideo_1_5_distilled,human,4,short,15s,340.83
hunyuanvideo_1_5_distilled,human,4,medium,5s,58.76
hunyuanvideo_1_5_distilled,human,4,medium,10s,171.9
hunyuanvideo_1_5_distilled,human,4,medium,15s,340.56
hunyuanvideo_1_5_distilled,human,4,long,5s,58.81
hunyuanvideo_1_5_distilled,human,4,long,10s,171.96
hunyuanvideo_1_5_distilled,human,4,long,15s,340.84
hunyuanvideo_1_5_distilled,human,5,short,5s,58.78
hunyuanvideo_1_5_distilled,human,5,short,10s,172.02
hunyuanvideo_1_5_distilled,human,5,short,15s,341.05
hunyuanvideo_1_5_distilled,human,5,medium,5s,58.75
hunyuanvideo_1_5_distilled,human,5,medium,10s,172.0
hunyuanvideo_1_5_distilled,human,5,medium,15s,341.09
hunyuanvideo_1_5_distilled,human,5,long,5s,58.84
hunyuanvideo_1_5_distilled,human,5,long,10s,172.03
hunyuanvideo_1_5_distilled,human,5,long,15s,340.91
hunyuanvideo_1_5_distilled,lifestyle,1,short,5s,64.91
hunyuanvideo_1_5_distilled,lifestyle,1,short,10s,213.74
hunyuanvideo_1_5_distilled,lifestyle,1,short,15s,428.01
hunyuanvideo_1_5_distilled,lifestyle,1,medium,5s,62.45
hunyuanvideo_1_5_distilled,lifestyle,1,medium,10s,209.47
hunyuanvideo_1_5_distilled,lifestyle,1,medium,15s,433.31
hunyuanvideo_1_5_distilled,lifestyle,1,long,5s,64.2
