model,category,prompt_id,variation,length,time_seconds,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,clip_score,video_path
hunyuanvideo_1_5_distilled,animal,3,long,10s,193.67,0.8322192995498577,0.9198903401692708,0.9957597019610461,1.0,0.5598596930503845,55.548783789037174,0.24383734166622162,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_long_10s.mp4
hunyuanvideo_1_5_distilled,animal,3,long,15s,395.71,0.875087872478697,0.9198398166232639,0.9959752665630295,1.0,0.48718616366386414,37.7674636365304,0.2560688257217407,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_long_15s.mp4
hunyuanvideo_1_5_distilled,animal,3,long,5s,80.23,0.8279542232553164,0.9146687825520833,0.9964661582715352,0.0,0.5385046601295471,46.678756839972884,0.2525060772895813,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_long_5s.mp4
hunyuanvideo_1_5_distilled,animal,3,medium,10s,192.76,0.8954693087687094,0.9050872802734375,0.9944154611430577,0.0,0.5166258811950684,47.48449449024754,0.265176385641098,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_medium_10s.mp4
hunyuanvideo_1_5_distilled,animal,3,medium,15s,384.86,0.8524859694970979,0.9341139051649305,0.9948194729395645,0.0,0.5504772663116455,52.68433317781486,0.2622670531272888,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_medium_15s.mp4
hunyuanvideo_1_5_distilled,animal,3,medium,5s,74.42,0.800238207106789,0.8918131510416667,0.994472326855867,1.0,0.48963049054145813,51.624298284861666,0.2537802457809448,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_medium_5s.mp4
hunyuanvideo_1_5_distilled,animal,3,short,10s,195.42,0.8809254452586174,0.9313283284505208,0.9913258607835718,1.0,0.5406867265701294,60.387838260761434,0.22667157649993896,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_short_10s.mp4
hunyuanvideo_1_5_distilled,animal,3,short,15s,388.53,0.8902893722885185,0.9563863118489583,0.9892854048685594,1.0,0.42582717537879944,46.64460639213921,0.22406348586082458,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_short_15s.mp4
hunyuanvideo_1_5_distilled,animal,3,short,5s,79.46,0.875156772385041,0.931982421875,0.9901758674991097,1.0,0.5233039855957031,45.48139305745275,0.24645504355430603,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_3_short_5s.mp4
hunyuanvideo_1_5_distilled,animal,4,long,10s,193.97,0.9297384914010763,0.9367594401041667,0.9941110185065167,1.0,0.5898268222808838,54.467528869502274,0.2898435592651367,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_long_10s.mp4
hunyuanvideo_1_5_distilled,animal,4,long,15s,381.17,0.9818604987528589,0.9516018337673611,0.9917474826097936,1.0,0.601682186126709,58.27758691845838,0.2646583318710327,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_long_15s.mp4
hunyuanvideo_1_5_distilled,animal,4,long,5s,85.01,0.9051538517077764,0.9402486165364583,0.9929217697662666,0.0,0.5651090145111084,60.026131023060195,0.2851092219352722,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_long_5s.mp4
hunyuanvideo_1_5_distilled,animal,4,medium,10s,195.14,0.8483113480110963,0.9117238362630208,0.992671211138257,1.0,0.6163947582244873,63.1626954454604,0.26426076889038086,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_medium_10s.mp4
hunyuanvideo_1_5_distilled,animal,4,medium,15s,389.91,0.9594782200124529,0.9572292751736111,0.9941973742410515,1.0,0.580095112323761,59.864293243746346,0.27292776107788086,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_medium_15s.mp4
hunyuanvideo_1_5_distilled,animal,4,medium,5s,84.98,0.943817316989104,0.9318400065104167,0.9856735226253073,1.0,0.6042971611022949,59.71062488398276,0.2576524019241333,/workspace/videos/hunyuanvideo_1_5_distilled/animal/hunyuanvideo_1_5_distilled_animal_4_medium_5s.mp4
